subject,idna_subject,expiration_date,epoch
0x1f4b0.com,0x1f4b0.com,03-feb-2021,1612310400.0
1q2w3.fun,1q2w3.fun,08-jun-2021,1623110400.0
1q2w3.website,1q2w3.website,21-feb-2021,1613865600.0
2giga.link,2giga.link,12-may-2021,1620777600.0
aalbbh84.info,aalbbh84.info,18-jul-2021,1626566400.0
ad-miner.com,ad-miner.com,26-jan-2021,1611619200.0
adless.io,adless.io,23-mar-2021,1616457600.0
adminer.com,adminer.com,13-jul-2021,1626134400.0
adrenali.gq,adrenali.gq,04-jun-2021,1622764800.0
afminer.com,afminer.com,25-feb-2021,1614211200.0
ajplugins.com,ajplugins.com,01-jul-2021,1625097600.0
alflying.win,alflying.win,09-jun-2021,1623196800.0
allfontshere.press,allfontshere.press,08-jun-2021,1623110400.0
altavista.ovh,altavista.ovh,06-mar-2021,1614988800.0
analytics.blue,analytics.blue,22-feb-2021,1613952000.0
andlache.com,andlache.com,04-apr-2021,1617494400.0
apdrive.win,apdrive.win,09-jun-2023,1686268800.0
aservices.party,aservices.party,07-apr-2021,1617753600.0
authcaptcha.com,authcaptcha.com,26-jun-2021,1624665600.0
avero.xyz,avero.xyz,04-may-2021,1620086400.0
averoconnector.com,averoconnector.com,14-may-2021,1620950400.0
azvjudwr.info,azvjudwr.info,19-feb-2021,1613692800.0
baiduccdn1.com,baiduccdn1.com,12-feb-2021,1613088000.0
bajarlo.net,bajarlo.net,20-feb-2021,1613779200.0
basepush.com,basepush.com,30-jan-2021,1611964800.0
bayception.pw,bayception.pw,27-jan-2021,1611705600.0
baypirateproxy.org,baypirateproxy.org,13-jun-2021,1623542400.0
baypirateproxy.pw,baypirateproxy.pw,18-jul-2021,1626566400.0
beatingbytes.com,beatingbytes.com,02-apr-2021,1617321600.0
becanium.com,becanium.com,06-mar-2021,1614988800.0
beeppool.org,beeppool.org,09-jul-2021,1625788800.0
befirstcdn.com,befirstcdn.com,20-oct-2021,1634688000.0
berateveng.ru,berateveng.ru,10-jul-2021,1625875200.0
besocial.online,besocial.online,10-feb-2021,1612915200.0
bestcoinsignals.com,bestcoinsignals.com,18-mar-2021,1616025600.0
besti.ga,besti.ga,25-apr-2021,1619308800.0
bestsecurepractice.com,bestsecurepractice.com,12-mar-2021,1615507200.0
bezoglasa.online,bezoglasa.online,15-feb-2021,1613347200.0
biberukalap.com,biberukalap.com,03-sep-2021,1630627200.0
bitcoiner.win,bitcoiner.win,18-sep-2022,1663459200.0
bizoninvest.com,bizoninvest.com,08-aug-2021,1628380800.0
bmcm.pw,bmcm.pw,20-feb-2021,1613779200.0
browsermine.com,browsermine.com,21-sep-2021,1632182400.0
butcalve.com,butcalve.com,05-apr-2021,1617580800.0
candid.zone,candid.zone,03-mar-2021,1614729600.0
capodannoinversilia.com,capodannoinversilia.com,19-feb-2021,1613692800.0
cdjs.online,cdjs.online,03-mar-2021,1614729600.0
cdn-code.host,cdn-code.host,08-jun-2021,1623110400.0
cdnfile.xyz,cdnfile.xyz,04-jul-2021,1625356800.0
chainblock.science,chainblock.science,08-apr-2021,1617840000.0
clgserv.pro,clgserv.pro,27-feb-2021,1614384000.0
clod.pw,clod.pw,10-mar-2021,1615334400.0
cloudcdn.gdn,cloudcdn.gdn,17-apr-2021,1618617600.0
cloudflane.com,cloudflane.com,11-feb-2021,1613001600.0
cloudflare.solutions,cloudflare.solutions,11-feb-2021,1613001600.0
cnhv.co,cnhv.co,23-aug-2021,1629676800.0
code.ws,code.ws,26-apr-2025,1745625600.0
cody.services,cody.services,16-jul-2021,1626393600.0
coin-hive.com,coin-hive.com,24-aug-2021,1629763200.0
coin-service.com,coin-service.com,15-jun-2021,1623715200.0
coinblind.com,coinblind.com,30-jun-2021,1625011200.0
coinhive.info,coinhive.info,03-mar-2021,1614729600.0
coinhive.net,coinhive.net,28-jul-2021,1627430400.0
coinhive.org,coinhive.org,27-jun-2021,1624752000.0
coinive.com,coinive.com,08-may-2021,1620432000.0
coinjive.com,coinjive.com,08-aug-2021,1628380800.0
coinlab.biz,coinlab.biz,31-jan-2021,1612051200.0
coinpot.co,coinpot.co,05-may-2021,1620172800.0
conhive.com,conhive.com,14-jul-2021,1626220800.0
cookiescript.info,cookiescript.info,13-aug-2021,1628812800.0
cookiescriptcdn.pro,cookiescriptcdn.pro,12-aug-2021,1628726400.0
cpufan.club,cpufan.club,03-may-2021,1620000000.0
cryptaloot.pro,cryptaloot.pro,23-feb-2021,1614038400.0
crypto-pool.fr,crypto-pool.fr,26-jan-2022,1643155200.0
cryptobara.com,cryptobara.com,01-may-2021,1619827200.0
cryptoloot.pro,cryptoloot.pro,30-jul-2021,1627603200.0
cryptonoter.com,cryptonoter.com,27-feb-2021,1614384000.0
cryptosearch.site,cryptosearch.site,26-dec-2021,1640476800.0
