# Generated by PyFunceble (v4.2.29.dev) / https://pyfunceble.github.io
# Date of generation: 2024-11-29T11:20:06.658145+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                39%          48          
CommuniGal Communications Ltd. 19%          24          
1API GmbH                      6%           8           
Dynadot LLC                    5%           6           
Radix FZC                      5%           6           
Sav.com, LLC                   5%           6           
CommuniGal Communication Ltd.  3%           4           
GoDaddy.com, LLC               3%           4           
BUZINESSWARE                   2%           2           
Dynadot Inc                    2%           2           
Gransy, s.r.o.                 2%           2           
HOSTINGER operations, UAB      2%           2           
NAMECHEAP                      2%           2           
Name.com, Inc.                 2%           2           
OVH SAS                        2%           2           
NameCheap, Inc.                39%          48          
CommuniGal Communications Ltd. 19%          24          
1API GmbH                      6%           8           
Dynadot LLC                    5%           6           
Radix FZC                      5%           6           
Sav.com, LLC                   5%           6           
CommuniGal Communication Ltd.  3%           4           
GoDaddy.com, LLC               3%           4           
BUZINESSWARE                   2%           2           
Dynadot Inc                    2%           2           
Gransy, s.r.o.                 2%           2           
HOSTINGER operations, UAB      2%           2           
NAMECHEAP                      2%           2           
Name.com, Inc.                 2%           2           
OVH SAS                        2%           2           
